,repo,origin_commit,file,code_context,commit_date,line_vuln,code_vuln
0,aria2/aria2,869aae82648cfe9f4a7dac2bd912240a71dfdc70,src/LibsslTLSSession.cc,"OpenSSLTLSSession::~OpenSSLTLSSession()
{
  if(ssl_) {
    SSL_shutdown(ssl_);
  }
}
",2015-12-27 18:40:08 +0900,51,  OpenSSLTLSSession(OpenSSLTLSContext* tlsContext)
1,aria2/aria2,869aae82648cfe9f4a7dac2bd912240a71dfdc70,src/LibsslTLSSession.cc,"OpenSSLTLSSession::~OpenSSLTLSSession()
{
  if(ssl_) {
    SSL_shutdown(ssl_);
  }
}
",2015-12-27 18:40:08 +0900,136,  DerefEqual(const T& t) : target(t) {}  ^
2,aria2/aria2,869aae82648cfe9f4a7dac2bd912240a71dfdc70,src/LibsslTLSSession.cc,"OpenSSLTLSSession::~OpenSSLTLSSession()
{
  if(ssl_) {
    SSL_shutdown(ssl_);
  }
}
",2015-12-27 18:40:08 +0900,118,  SocketCore(int sockType = SOCK_STREAM)
3,aria2/aria2,869aae82648cfe9f4a7dac2bd912240a71dfdc70,src/LibsslTLSSession.cc,"OpenSSLTLSSession::~OpenSSLTLSSession()
{
  if(ssl_) {
    SSL_shutdown(ssl_);
  }
}
",2015-12-27 18:40:08 +0900,43,  virtual std::shared_ptr<Exception> copy() const CXX11_OVERRIDE
4,aria2/aria2,869aae82648cfe9f4a7dac2bd912240a71dfdc70,src/LibsslTLSSession.cc,"OpenSSLTLSSession::~OpenSSLTLSSession()
{
  if(ssl_) {
    SSL_shutdown(ssl_);
  }
}
",2015-12-27 18:40:08 +0900,43,  virtual std::shared_ptr<Exception> copy() const CXX11_OVERRIDE
5,aria2/aria2,869aae82648cfe9f4a7dac2bd912240a71dfdc70,src/LibsslTLSSession.cc,"OpenSSLTLSSession::~OpenSSLTLSSession()
{
  if(ssl_) {
    SSL_shutdown(ssl_);
  }
}
",2015-12-27 18:40:08 +0900,56,"  virtual bool addCredentialFile(const std::string& certfile,               ^"
6,aria2/aria2,869aae82648cfe9f4a7dac2bd912240a71dfdc70,src/LibsslTLSSession.cc,"OpenSSLTLSSession::~OpenSSLTLSSession()
{
  if(ssl_) {
    SSL_shutdown(ssl_);
  }
}
",2015-12-27 18:40:08 +0900,60,  virtual bool addSystemTrustedCACerts() CXX11_OVERRIDE
7,aria2/aria2,869aae82648cfe9f4a7dac2bd912240a71dfdc70,src/LibsslTLSSession.cc,"OpenSSLTLSSession::~OpenSSLTLSSession()
{
  if(ssl_) {
    SSL_shutdown(ssl_);
  }
}
",2015-12-27 18:40:08 +0900,63,  virtual bool addTrustedCACertFile(const std::string& certfile) CXX11_OVERRIDE
8,aria2/aria2,869aae82648cfe9f4a7dac2bd912240a71dfdc70,src/LibsslTLSSession.cc,"OpenSSLTLSSession::~OpenSSLTLSSession()
{
  if(ssl_) {
    SSL_shutdown(ssl_);
  }
}
",2015-12-27 18:40:08 +0900,65,  virtual bool good() const CXX11_OVERRIDE
9,aria2/aria2,869aae82648cfe9f4a7dac2bd912240a71dfdc70,src/LibsslTLSSession.cc,"OpenSSLTLSSession::~OpenSSLTLSSession()
{
  if(ssl_) {
    SSL_shutdown(ssl_);
  }
}
",2015-12-27 18:40:08 +0900,67,  virtual TLSSessionSide getSide() const CXX11_OVERRIDE { return side_
10,aria2/aria2,869aae82648cfe9f4a7dac2bd912240a71dfdc70,src/LibsslTLSSession.cc,"OpenSSLTLSSession::~OpenSSLTLSSession()
{
  if(ssl_) {
    SSL_shutdown(ssl_);
  }
}
",2015-12-27 18:40:08 +0900,69,  virtual bool getVerifyPeer() const CXX11_OVERRIDE { return verifyPeer_
11,aria2/aria2,869aae82648cfe9f4a7dac2bd912240a71dfdc70,src/LibsslTLSSession.cc,"OpenSSLTLSSession::~OpenSSLTLSSession()
{
  if(ssl_) {
    SSL_shutdown(ssl_);
  }
}
",2015-12-27 18:40:08 +0900,70,  virtual void setVerifyPeer(bool verify) CXX11_OVERRIDE               ^
12,aria2/aria2,869aae82648cfe9f4a7dac2bd912240a71dfdc70,src/LibsslTLSSession.cc,"OpenSSLTLSSession::~OpenSSLTLSSession()
{
  if(ssl_) {
    SSL_shutdown(ssl_);
  }
}
",2015-12-27 18:40:08 +0900,53,  virtual int init(sock_t sockfd) CXX11_OVERRIDE
