,repo,origin_commit,file,code_context,commit_date,line_vuln,code_vuln
0,bitcoin/bitcoin,0d5613f9ded846aa20a95c757672e9560c664c4c,src/qt/guiutil.h,"    /**     * Queue a function to run in an object's event loop. This can be     * replaced by a call to the QMetaObject::invokeMethod functor overload after Qt 5.10, but     * for now use a QObject::connect for compatibility with older Qt versions, based on     * https://stackoverflow.com/questions/21646467/how-to-execute-a-functor-or-a-lambda-in-a-given-thread-in-qt-gcd-style     */    template <typename Fn>    void ObjectInvoke(QObject* object, Fn&& function, Qt::ConnectionType connection = Qt::QueuedConnection)    {        QObject source;        QObject::connect(&source, &QObject::destroyed, object, std::forward<Fn>(function), connection);    }",2020-12-27 14:29:24 +0100,281,        ItemDelegate(QObject* parent) : QItemDelegate(parent) {}        ^
1,bitcoin/bitcoin,e0e55060bf697fe8b9ed43ff62383a0451e9c0ce,src/qt/guiutil.h,"    /**     * Queue a function to run in an object's event loop. This can be     * replaced by a call to the QMetaObject::invokeMethod functor overload after Qt 5.10, but     * for now use a QObject::connect for compatibility with older Qt versions, based on     * https://stackoverflow.com/questions/21646467/how-to-execute-a-functor-or-a-lambda-in-a-given-thread-in-qt-gcd-style     */    template <typename Fn>    void ObjectInvoke(QObject* object, Fn&& function, Qt::ConnectionType connection = Qt::QueuedConnection)    {        QObject source;        QObject::connect(&source, &QObject::destroyed, object, std::forward<Fn>(function), connection);    }",2020-12-27 14:29:26 +0100,281,        ItemDelegate(QObject* parent) : QItemDelegate(parent) {}        ^
2,bitcoin/bitcoin,7e2beab2d28d8ab039d9554744a11592a7d7dc76,src/qt/guiutil.h,"    /**     * Queue a function to run in an object's event loop. This can be     * replaced by a call to the QMetaObject::invokeMethod functor overload after Qt 5.10, but     * for now use a QObject::connect for compatibility with older Qt versions, based on     * https://stackoverflow.com/questions/21646467/how-to-execute-a-functor-or-a-lambda-in-a-given-thread-in-qt-gcd-style     */    template <typename Fn>    void ObjectInvoke(QObject* object, Fn&& function, Qt::ConnectionType connection = Qt::QueuedConnection)    {        QObject source;        QObject::connect(&source, &QObject::destroyed, object, std::forward<Fn>(function), connection);    }",2021-01-08 15:24:31 +0100,285,        ItemDelegate(QObject* parent) : QItemDelegate(parent) {}        ^
3,bitcoin/bitcoin,4f0961573318271d4d0737b99057f54c188540f7,src/qt/guiutil.h,"    /**     * Queue a function to run in an object's event loop. This can be     * replaced by a call to the QMetaObject::invokeMethod functor overload after Qt 5.10, but     * for now use a QObject::connect for compatibility with older Qt versions, based on     * https://stackoverflow.com/questions/21646467/how-to-execute-a-functor-or-a-lambda-in-a-given-thread-in-qt-gcd-style     */    template <typename Fn>    void ObjectInvoke(QObject* object, Fn&& function, Qt::ConnectionType connection = Qt::QueuedConnection)    {        QObject source;        QObject::connect(&source, &QObject::destroyed, object, std::forward<Fn>(function), connection);    }",2021-01-10 21:33:10 +0100,285,        ItemDelegate(QObject* parent) : QItemDelegate(parent) {}        ^
4,bitcoin/bitcoin,506e6585a54818d0613a067f91c0bac2f308a48c,src/qt/guiutil.h,"    /**     * Queue a function to run in an object's event loop. This can be     * replaced by a call to the QMetaObject::invokeMethod functor overload after Qt 5.10, but     * for now use a QObject::connect for compatibility with older Qt versions, based on     * https://stackoverflow.com/questions/21646467/how-to-execute-a-functor-or-a-lambda-in-a-given-thread-in-qt-gcd-style     */    template <typename Fn>    void ObjectInvoke(QObject* object, Fn&& function, Qt::ConnectionType connection = Qt::QueuedConnection)    {        QObject source;        QObject::connect(&source, &QObject::destroyed, object, std::forward<Fn>(function), connection);    }",2021-01-30 20:28:37 +0100,288,        ItemDelegate(QObject* parent) : QItemDelegate(parent) {}        ^
5,bitcoin/bitcoin,3913d1e8c1f604bdd622d5e81e5077ef52b30466,src/qt/guiutil.h," Queue a function to run in an object's event loop. This can be replaced by a call to the QMetaObject::invokeMethod functor overload after Qt 5.10, but for now use a QObject::connect for compatibility with older Qt versions, based on https://stackoverflow.com/questions/21646467/how-to-execute-a-functor-or-a-lambda-in-a-given-thread-in-qt-gcd-style/    template <typename Fn>    void ObjectInvoke(QObject* object, Fn&& function, Qt::ConnectionType connection = Qt::QueuedConnection)        QObject source;        QObject::connect(&source, &QObject::destroyed, object, std::forward<Fn>(function), connection);    ",2021-01-31 18:09:30 +0200,249,        ItemDelegate(QObject* parent) : QItemDelegate(parent) {}        ^
6,bitcoin/bitcoin,6fc72bd6f030c8b49e8b9f68188413766a239d73,src/qt/guiutil.h,"    /**     * Queue a function to run in an object's event loop. This can be     * replaced by a call to the QMetaObject::invokeMethod functor overload after Qt 5.10, but     * for now use a QObject::connect for compatibility with older Qt versions, based on     * https://stackoverflow.com/questions/21646467/how-to-execute-a-functor-or-a-lambda-in-a-given-thread-in-qt-gcd-style     */    template <typename Fn>    void ObjectInvoke(QObject* object, Fn&& function, Qt::ConnectionType connection = Qt::QueuedConnection)    {        QObject source;        QObject::connect(&source, &QObject::destroyed, object, std::forward<Fn>(function), connection);    }",2021-02-06 22:21:16 +0100,288,        ItemDelegate(QObject* parent) : QItemDelegate(parent) {}        ^
7,bitcoin/bitcoin,623de12d040af89ff7c25de6eb0a19c67179dc5f,src/qt/guiutil.h,"    /**     * Queue a function to run in an object's event loop. This can be     * replaced by a call to the QMetaObject::invokeMethod functor overload after Qt 5.10, but     * for now use a QObject::connect for compatibility with older Qt versions, based on     * https://stackoverflow.com/questions/21646467/how-to-execute-a-functor-or-a-lambda-in-a-given-thread-in-qt-gcd-style     */    template <typename Fn>    void ObjectInvoke(QObject* object, Fn&& function, Qt::ConnectionType connection = Qt::QueuedConnection)    {        QObject source;        QObject::connect(&source, &QObject::destroyed, object, std::forward<Fn>(function), connection);    }",2021-02-21 21:01:03 +0200,288,        ItemDelegate(QObject* parent) : QItemDelegate(parent) {}        ^
8,bitcoin/bitcoin,4d98b401fbd821700f7a792b0a4cb52c9b71bc9f,src/qt/guiutil.h," Queue a function to run in an object's event loop. This can be replaced by a call to the QMetaObject::invokeMethod functor overload after Qt 5.10, but for now use a QObject::connect for compatibility with older Qt versions, based on https://stackoverflow.com/questions/21646467/how-to-execute-a-functor-or-a-lambda-in-a-given-thread-in-qt-gcd-style/    template <typename Fn>    void ObjectInvoke(QObject* object, Fn&& function, Qt::ConnectionType connection = Qt::QueuedConnection)        QObject source;        QObject::connect(&source, &QObject::destroyed, object, std::forward<Fn>(function), connection);    ",2021-03-03 09:48:07 -0800,251,        ItemDelegate(QObject* parent) : QItemDelegate(parent) {}        ^
9,bitcoin/bitcoin,af7e365b1516d660d271475fdfe0c20ae09e66a8,src/qt/guiutil.h,"    /**     * Queue a function to run in an object's event loop. This can be     * replaced by a call to the QMetaObject::invokeMethod functor overload after Qt 5.10, but     * for now use a QObject::connect for compatibility with older Qt versions, based on     * https://stackoverflow.com/questions/21646467/how-to-execute-a-functor-or-a-lambda-in-a-given-thread-in-qt-gcd-style     */    template <typename Fn>    void ObjectInvoke(QObject* object, Fn&& function, Qt::ConnectionType connection = Qt::QueuedConnection)    {        QObject source;        QObject::connect(&source, &QObject::destroyed, object, std::forward<Fn>(function), connection);    }",2021-04-01 03:05:00 +0300,251,        ItemDelegate(QObject* parent) : QItemDelegate(parent) {}        ^
10,bitcoin/bitcoin,f7e260a471010e2d656fbc5ea8c310f6d94c26b9,src/qt/guiutil.h,"    }
    /**     * Queue a function to run in an object's event loop. This can be     * replaced by a call to the QMetaObject::invokeMethod functor overload after Qt 5.10, but     * for now use a QObject::connect for compatibility with older Qt versions, based on     * https://stackoverflow.com/questions/21646467/how-to-execute-a-functor-or-a-lambda-in-a-given-thread-in-qt-gcd-style     */    template <typename Fn>    void ObjectInvoke(QObject* object, Fn&& function, Qt::ConnectionType connection = Qt::QueuedConnection)    {        QObject source;        QObject::connect(&source, &QObject::destroyed, object, std::forward<Fn>(function), connection);    }",2021-04-01 03:05:31 +0300,256,        ItemDelegate(QObject* parent) : QItemDelegate(parent) {}        ^
11,bitcoin/bitcoin,d99ef327a885874fed1c4e35e0f47b10290c6bd9,src/qt/guiutil.h,"    /**     * Queue a function to run in an object's event loop. This can be     * replaced by a call to the QMetaObject::invokeMethod functor overload after Qt 5.10, but     * for now use a QObject::connect for compatibility with older Qt versions, based on     * https://stackoverflow.com/questions/21646467/how-to-execute-a-functor-or-a-lambda-in-a-given-thread-in-qt-gcd-style     */    template <typename Fn>    void ObjectInvoke(QObject* object, Fn&& function, Qt::ConnectionType connection = Qt::QueuedConnection)    {        QObject source;        QObject::connect(&source, &QObject::destroyed, object, std::forward<Fn>(function), connection);    }",2021-05-01 15:07:10 +0300,276,        ItemDelegate(QObject* parent) : QItemDelegate(parent) {}        ^
12,bitcoin/bitcoin,6b2ce65392dc98250e84941370e975048b8afc54,src/qt/guiutil.h,"    /**     * Queue a function to run in an object's event loop. This can be     * replaced by a call to the QMetaObject::invokeMethod functor overload after Qt 5.10, but     * for now use a QObject::connect for compatibility with older Qt versions, based on     * https://stackoverflow.com/questions/21646467/how-to-execute-a-functor-or-a-lambda-in-a-given-thread-in-qt-gcd-style     */    template <typename Fn>    void ObjectInvoke(QObject* object, Fn&& function, Qt::ConnectionType connection = Qt::QueuedConnection)    {        QObject source;        QObject::connect(&source, &QObject::destroyed, object, std::forward<Fn>(function), connection);    }",2021-05-01 15:07:10 +0300,279,        ItemDelegate(QObject* parent) : QItemDelegate(parent) {}        ^
