,repo,origin_commit,file,code_context,commit_date,line_vuln,code_vuln
0,freecad/freecad,8aff4a750351b609dfab12dcb550651777957d1b,src/Base/Axis.cpp,"Axis::Axis(const Vector3d& Orig, const Vector3d& Dir)
{
    this->_base = Orig;
    this->_dir = Dir;
}
",2011-10-10 13:44:52 +0000,,
1,freecad/freecad,103de43a4e111d20bf66cc0a095bb49f9595cbab,src/Gui/DlgUndoRedo.cpp,"++ b/src/Gui/DlgUndoRedo.cpp
UndoDialog::UndoDialog( QWidget* parent )
  : QMenu( parent )
{
    connect(this, SIGNAL(aboutToShow()), this, SLOT(onFetchInfo()));
}
",2023-01-12 15:13:16 +0100,,
2,freecad/freecad,69dd6ea965ae0efd026855b8ba99e4c1465d96f5,src/Mod/Mesh/App/Core/Smoothing.cpp,"void AbstractSmoothing::initialize(Component comp, Continuity cont)
{
    this->component = comp;
    this->continuity = cont;
}
",2023-01-12 15:13:16 +0100,85,  {}   ^
3,freecad/freecad,69dd6ea965ae0efd026855b8ba99e4c1465d96f5,src/Mod/Mesh/App/Core/Smoothing.cpp,"void AbstractSmoothing::initialize(Component comp, Continuity cont)
{
    this->component = comp;
    this->continuity = cont;
}
",2023-01-12 15:13:16 +0100,158,  MeshGeomEdge () : _bBorder(false) {}                                     ^
4,freecad/freecad,69dd6ea965ae0efd026855b8ba99e4c1465d96f5,src/Mod/Mesh/App/Core/Smoothing.cpp,"void AbstractSmoothing::initialize(Component comp, Continuity cont)
{
    this->component = comp;
    this->continuity = cont;
}
",2023-01-12 15:13:16 +0100,374,  ~MeshGeomFacet () { }                      ^
5,freecad/freecad,69dd6ea965ae0efd026855b8ba99e4c1465d96f5,src/Mod/Mesh/App/Core/Smoothing.cpp,"void AbstractSmoothing::initialize(Component comp, Continuity cont)
{
    this->component = comp;
    this->continuity = cont;
}
",2023-01-12 15:13:16 +0100,583,  MeshPointArray () { }                      ^
6,freecad/freecad,69dd6ea965ae0efd026855b8ba99e4c1465d96f5,src/Mod/Mesh/App/Core/Smoothing.cpp,"void AbstractSmoothing::initialize(Component comp, Continuity cont)
{
    this->component = comp;
    this->continuity = cont;
}
",2023-01-12 15:13:16 +0100,637,    MeshFacetArray () { }                        ^
7,freecad/freecad,69dd6ea965ae0efd026855b8ba99e4c1465d96f5,src/Mod/Mesh/App/Core/Smoothing.cpp,"void AbstractSmoothing::initialize(Component comp, Continuity cont)
{
    this->component = comp;
    this->continuity = cont;
}
",2023-01-12 15:13:16 +0100,347,    MeshCollector(){}                    ^
8,freecad/freecad,69dd6ea965ae0efd026855b8ba99e4c1465d96f5,src/Mod/Mesh/App/Core/Smoothing.cpp,"void AbstractSmoothing::initialize(Component comp, Continuity cont)
{
    this->component = comp;
    this->continuity = cont;
}
",2023-01-12 15:13:16 +0100,269,"        std::fill(_fCoeff, _fCoeff+10, 0.0)"
9,freecad/freecad,69dd6ea965ae0efd026855b8ba99e4c1465d96f5,src/Mod/Mesh/App/Core/Smoothing.cpp,"void AbstractSmoothing::initialize(Component comp, Continuity cont)
{
    this->component = comp;
    this->continuity = cont;
}
",2023-01-12 15:13:16 +0100,349,    ~SurfaceFit() override{}                           ^
10,freecad/freecad,69dd6ea965ae0efd026855b8ba99e4c1465d96f5,src/Mod/Mesh/App/Core/Smoothing.cpp,"void AbstractSmoothing::initialize(Component comp, Continuity cont)
{
    this->component = comp;
    this->continuity = cont;
}
",2023-01-12 15:13:16 +0100,501,        pImplSurf = new Wm4::QuadricSurface<double>( dKoeff )
11,freecad/freecad,69dd6ea965ae0efd026855b8ba99e4c1465d96f5,src/Mod/Mesh/App/Core/Smoothing.cpp,"void AbstractSmoothing::initialize(Component comp, Continuity cont)
{
    this->component = comp;
    this->continuity = cont;
}
",2023-01-12 15:13:16 +0100,501,        pImplSurf = new Wm4::QuadricSurface<double>( dKoeff )
12,freecad/freecad,69dd6ea965ae0efd026855b8ba99e4c1465d96f5,src/Mod/Mesh/App/Core/Smoothing.cpp,"void AbstractSmoothing::initialize(Component comp, Continuity cont)
{
    this->component = comp;
    this->continuity = cont;
}
",2023-01-12 15:13:16 +0100,1087,    unsigned short side
13,freecad/freecad,69dd6ea965ae0efd026855b8ba99e4c1465d96f5,src/Mod/Mesh/App/Core/Smoothing.cpp,"void AbstractSmoothing::initialize(Component comp, Continuity cont)
{
    this->component = comp;
    this->continuity = cont;
}
",2023-01-12 15:13:16 +0100,686,    explicit MeshPointModifier(MeshPointArray& points)                                               ^
14,freecad/freecad,69dd6ea965ae0efd026855b8ba99e4c1465d96f5,src/Mod/Mesh/App/Core/Smoothing.cpp,"void AbstractSmoothing::initialize(Component comp, Continuity cont)
{
    this->component = comp;
    this->continuity = cont;
}
",2023-01-12 15:13:16 +0100,707,    explicit MeshFacetModifier(MeshFacetArray& facets)                                               ^
15,freecad/freecad,69dd6ea965ae0efd026855b8ba99e4c1465d96f5,src/Mod/Mesh/App/Core/Smoothing.cpp,"void AbstractSmoothing::initialize(Component comp, Continuity cont)
{
    this->component = comp;
    this->continuity = cont;
}
",2023-01-12 15:13:16 +0100,355,    explicit PointCollector(std::vector<PointIndex>& ind) : indices(ind){}                                                     ^
16,freecad/freecad,69dd6ea965ae0efd026855b8ba99e4c1465d96f5,src/Mod/Mesh/App/Core/Smoothing.cpp,"void AbstractSmoothing::initialize(Component comp, Continuity cont)
{
    this->component = comp;
    this->continuity = cont;
}
",2023-01-12 15:13:16 +0100,373,    explicit FacetCollector(std::vector<FacetIndex>& ind) : indices(ind){}                                                     ^
17,freecad/freecad,8aff4a750351b609dfab12dcb550651777957d1b,src/Base/Axis.cpp,"Axis::Axis(const Vector3d& Orig, const Vector3d& Dir)
{
    this->_base = Orig;
    this->_dir = Dir;
}
",2023-01-12 15:13:16 +0100,,
18,freecad/freecad,103de43a4e111d20bf66cc0a095bb49f9595cbab,src/Gui/DlgUndoRedo.cpp,"++ b/src/Gui/DlgUndoRedo.cpp
UndoDialog::UndoDialog( QWidget* parent )
  : QMenu( parent )
{
    connect(this, SIGNAL(aboutToShow()), this, SLOT(onFetchInfo()));
}
",2023-01-12 15:13:16 +0100,,
19,freecad/freecad,69dd6ea965ae0efd026855b8ba99e4c1465d96f5,src/Mod/Mesh/App/Core/Smoothing.cpp,"void AbstractSmoothing::initialize(Component comp, Continuity cont)
{
    this->component = comp;
    this->continuity = cont;
}
",2023-01-12 15:13:16 +0100,85,  {}   ^
20,freecad/freecad,69dd6ea965ae0efd026855b8ba99e4c1465d96f5,src/Mod/Mesh/App/Core/Smoothing.cpp,"void AbstractSmoothing::initialize(Component comp, Continuity cont)
{
    this->component = comp;
    this->continuity = cont;
}
",2023-01-12 15:13:16 +0100,158,  MeshGeomEdge () : _bBorder(false) {}                                     ^
21,freecad/freecad,69dd6ea965ae0efd026855b8ba99e4c1465d96f5,src/Mod/Mesh/App/Core/Smoothing.cpp,"void AbstractSmoothing::initialize(Component comp, Continuity cont)
{
    this->component = comp;
    this->continuity = cont;
}
",2023-01-12 15:13:16 +0100,374,  ~MeshGeomFacet () { }                      ^
22,freecad/freecad,69dd6ea965ae0efd026855b8ba99e4c1465d96f5,src/Mod/Mesh/App/Core/Smoothing.cpp,"void AbstractSmoothing::initialize(Component comp, Continuity cont)
{
    this->component = comp;
    this->continuity = cont;
}
",2023-01-12 15:13:16 +0100,583,  MeshPointArray () { }                      ^
23,freecad/freecad,69dd6ea965ae0efd026855b8ba99e4c1465d96f5,src/Mod/Mesh/App/Core/Smoothing.cpp,"void AbstractSmoothing::initialize(Component comp, Continuity cont)
{
    this->component = comp;
    this->continuity = cont;
}
",2023-01-12 15:13:16 +0100,637,    MeshFacetArray () { }                        ^
24,freecad/freecad,69dd6ea965ae0efd026855b8ba99e4c1465d96f5,src/Mod/Mesh/App/Core/Smoothing.cpp,"void AbstractSmoothing::initialize(Component comp, Continuity cont)
{
    this->component = comp;
    this->continuity = cont;
}
",2023-01-12 15:13:16 +0100,347,    MeshCollector(){}                    ^
25,freecad/freecad,69dd6ea965ae0efd026855b8ba99e4c1465d96f5,src/Mod/Mesh/App/Core/Smoothing.cpp,"void AbstractSmoothing::initialize(Component comp, Continuity cont)
{
    this->component = comp;
    this->continuity = cont;
}
",2023-01-12 15:13:16 +0100,269,"        std::fill(_fCoeff, _fCoeff+10, 0.0)"
