,repo,origin_commit,file,code_context,commit_date,line_vuln,code_vuln
0,keepassxreboot/keepassxc,8324d03f0a015e62b6182843b4478226a5197090,src/sshagent/AgentSettingsPage.cpp,"++ b/src/sshagent/AgentSettingsPage.cpp
AgentSettingsPage::~AgentSettingsPage()
{

}
",2018-03-31 16:01:30 -0400,28,    AgentSettingsPage(DatabaseTabWidget* tabWidget)
1,keepassxreboot/keepassxc,b045160e4fcd612def4c5cff55f9469baf12a738,src/sshagent/AgentSettingsPage.cpp,"AgentSettingsPage::~AgentSettingsPage()
{

}
",2020-03-14 10:13:12 -0400,28,    AgentSettingsPage(DatabaseTabWidget* tabWidget)
2,keepassxreboot/keepassxc,af4ecb4aa15506fed9a06fc56d4e4c05a498ba24,src/sshagent/AgentSettingsPage.cpp,"AgentSettingsPage::~AgentSettingsPage()
{

}
",2020-10-05 20:41:00 -0400,,
3,keepassxreboot/keepassxc,fae4f69b8cf09129444a513238daa53ab9713294,src/autotype/AutoTypeAction.cpp,"AutoTypeClearField::AutoTypeClearField()
{
}
",2014-03-23 17:25:39 +0000,40,    AutoTypeAction* clone()
4,keepassxreboot/keepassxc,fae4f69b8cf09129444a513238daa53ab9713294,src/autotype/AutoTypeAction.cpp,"AutoTypeClearField::AutoTypeClearField()
{
}
",2014-03-23 17:25:39 +0000,41,    void accept(AutoTypeExecutor* executor)
5,keepassxreboot/keepassxc,fae4f69b8cf09129444a513238daa53ab9713294,src/autotype/AutoTypeAction.cpp,"AutoTypeClearField::AutoTypeClearField()
{
}
",2014-03-23 17:25:39 +0000,50,    AutoTypeAction* clone()
6,keepassxreboot/keepassxc,fae4f69b8cf09129444a513238daa53ab9713294,src/autotype/AutoTypeAction.cpp,"AutoTypeClearField::AutoTypeClearField()
{
}
",2014-03-23 17:25:39 +0000,51,    void accept(AutoTypeExecutor* executor)
7,keepassxreboot/keepassxc,fae4f69b8cf09129444a513238daa53ab9713294,src/autotype/AutoTypeAction.cpp,"AutoTypeClearField::AutoTypeClearField()
{
}
",2014-03-23 17:25:39 +0000,60,    AutoTypeAction* clone()
8,keepassxreboot/keepassxc,fae4f69b8cf09129444a513238daa53ab9713294,src/autotype/AutoTypeAction.cpp,"AutoTypeClearField::AutoTypeClearField()
{
}
",2014-03-23 17:25:39 +0000,61,    void accept(AutoTypeExecutor* executor)
9,keepassxreboot/keepassxc,fae4f69b8cf09129444a513238daa53ab9713294,src/autotype/AutoTypeAction.cpp,"AutoTypeClearField::AutoTypeClearField()
{
}
",2014-03-23 17:25:39 +0000,70,    AutoTypeAction* clone()
