,repo,origin_commit,file,code_context,commit_date,line_vuln,code_vuln
0,rpcs3/rpcs3,007a7a5859189ab7ff4d4d6b1ad127960d76eedc,rpcs3/Emu/Cell/Modules/sys_rsxaudio_.cpp,"s32 sys_rsxaudio_initialize()
{
	UNIMPLEMENTED_FUNC(sysPrxForUser);
	return CELL_OK;
}
",2020-01-31 12:09:52 +0300,37,"  verify(HERE), sys_lwmutex_lock(ppu, mutex, 0) == CELL_OK"
1,rpcs3/rpcs3,007a7a5859189ab7ff4d4d6b1ad127960d76eedc,rpcs3/Emu/Cell/Modules/sys_rsxaudio_.cpp,"s32 sys_rsxaudio_initialize()
{
	UNIMPLEMENTED_FUNC(sysPrxForUser);
	return CELL_OK;
}
",2020-01-31 12:09:52 +0300,42,"  verify(HERE), sys_lwmutex_unlock(ppu, mutex) == CELL_OK"
2,rpcs3/rpcs3,fe75311be2c3b97005f3276b54ba33a5354c2732,rpcs3/Emu/Cell/Modules/sys_rsxaudio_.cpp,"s32 sys_rsxaudio_initialize()
{
	UNIMPLEMENTED_FUNC(sysPrxForUser);
	return CELL_OK;
}
",2020-02-17 15:08:17 +0300,37,"  verify(HERE), sys_lwmutex_lock(ppu, mutex, 0) == CELL_OK"
3,rpcs3/rpcs3,fe75311be2c3b97005f3276b54ba33a5354c2732,rpcs3/Emu/Cell/Modules/sys_rsxaudio_.cpp,"s32 sys_rsxaudio_initialize()
{
	UNIMPLEMENTED_FUNC(sysPrxForUser);
	return CELL_OK;
}
",2020-02-17 15:08:17 +0300,42,"  verify(HERE), sys_lwmutex_unlock(ppu, mutex) == CELL_OK"
4,rpcs3/rpcs3,d854a3950090deff1330c8b6bcce9d6c4a7ff19d,rpcs3/Emu/Cell/Modules/sys_rsxaudio_.cpp,	UNIMPLEMENTED_FUNC(sysPrxForUser);	return CELL_OK;,2020-07-24 14:47:10 +0200,37,"  verify(HERE), sys_lwmutex_lock(ppu, mutex, 0) == CELL_OK"
5,rpcs3/rpcs3,d854a3950090deff1330c8b6bcce9d6c4a7ff19d,rpcs3/Emu/Cell/Modules/sys_rsxaudio_.cpp,	UNIMPLEMENTED_FUNC(sysPrxForUser);	return CELL_OK;,2020-07-24 14:47:10 +0200,42,"  verify(HERE), sys_lwmutex_unlock(ppu, mutex) == CELL_OK"
6,rpcs3/rpcs3,af8c661a644cfc4279da56dd9e415b39f9089fe4,rpcs3/Emu/Cell/Modules/sys_rsxaudio_.cpp,"s32 sys_rsxaudio_initialize()
{
	UNIMPLEMENTED_FUNC(sysPrxForUser);
	return CELL_OK;
}
",2020-12-06 15:30:12 +0300,37,"  verify(HERE), sys_lwmutex_lock(ppu, mutex, 0) == CELL_OK"
7,rpcs3/rpcs3,af8c661a644cfc4279da56dd9e415b39f9089fe4,rpcs3/Emu/Cell/Modules/sys_rsxaudio_.cpp,"s32 sys_rsxaudio_initialize()
{
	UNIMPLEMENTED_FUNC(sysPrxForUser);
	return CELL_OK;
}
",2020-12-06 15:30:12 +0300,42,"  verify(HERE), sys_lwmutex_unlock(ppu, mutex) == CELL_OK"
8,rpcs3/rpcs3,007a7a5859189ab7ff4d4d6b1ad127960d76eedc,rpcs3/Emu/Cell/Modules/sys_rsxaudio_.cpp,"s32 sys_rsxaudio_prepare_process()
{
	UNIMPLEMENTED_FUNC(sysPrxForUser);
	return CELL_OK;
}
",2020-01-31 12:09:52 +0300,37,"  verify(HERE), sys_lwmutex_lock(ppu, mutex, 0) == CELL_OK"
9,rpcs3/rpcs3,007a7a5859189ab7ff4d4d6b1ad127960d76eedc,rpcs3/Emu/Cell/Modules/sys_rsxaudio_.cpp,"s32 sys_rsxaudio_prepare_process()
{
	UNIMPLEMENTED_FUNC(sysPrxForUser);
	return CELL_OK;
}
",2020-01-31 12:09:52 +0300,42,"  verify(HERE), sys_lwmutex_unlock(ppu, mutex) == CELL_OK"
10,rpcs3/rpcs3,fe75311be2c3b97005f3276b54ba33a5354c2732,rpcs3/Emu/Cell/Modules/sys_rsxaudio_.cpp,"s32 sys_rsxaudio_prepare_process()
{
	UNIMPLEMENTED_FUNC(sysPrxForUser);
	return CELL_OK;
}
",2020-02-17 15:08:17 +0300,37,"  verify(HERE), sys_lwmutex_lock(ppu, mutex, 0) == CELL_OK"
11,rpcs3/rpcs3,fe75311be2c3b97005f3276b54ba33a5354c2732,rpcs3/Emu/Cell/Modules/sys_rsxaudio_.cpp,"s32 sys_rsxaudio_prepare_process()
{
	UNIMPLEMENTED_FUNC(sysPrxForUser);
	return CELL_OK;
}
",2020-02-17 15:08:17 +0300,42,"  verify(HERE), sys_lwmutex_unlock(ppu, mutex) == CELL_OK"
12,rpcs3/rpcs3,d854a3950090deff1330c8b6bcce9d6c4a7ff19d,rpcs3/Emu/Cell/Modules/sys_rsxaudio_.cpp,	UNIMPLEMENTED_FUNC(sysPrxForUser);	return CELL_OK;,2020-07-24 14:47:10 +0200,37,"  verify(HERE), sys_lwmutex_lock(ppu, mutex, 0) == CELL_OK"
13,rpcs3/rpcs3,d854a3950090deff1330c8b6bcce9d6c4a7ff19d,rpcs3/Emu/Cell/Modules/sys_rsxaudio_.cpp,	UNIMPLEMENTED_FUNC(sysPrxForUser);	return CELL_OK;,2020-07-24 14:47:10 +0200,42,"  verify(HERE), sys_lwmutex_unlock(ppu, mutex) == CELL_OK"
14,rpcs3/rpcs3,af8c661a644cfc4279da56dd9e415b39f9089fe4,rpcs3/Emu/Cell/Modules/sys_rsxaudio_.cpp,"s32 sys_rsxaudio_prepare_process()
{
	UNIMPLEMENTED_FUNC(sysPrxForUser);
	return CELL_OK;
}
",2020-12-06 15:30:12 +0300,37,"  verify(HERE), sys_lwmutex_lock(ppu, mutex, 0) == CELL_OK"
15,rpcs3/rpcs3,af8c661a644cfc4279da56dd9e415b39f9089fe4,rpcs3/Emu/Cell/Modules/sys_rsxaudio_.cpp,"s32 sys_rsxaudio_prepare_process()
{
	UNIMPLEMENTED_FUNC(sysPrxForUser);
	return CELL_OK;
}
",2020-12-06 15:30:12 +0300,42,"  verify(HERE), sys_lwmutex_unlock(ppu, mutex) == CELL_OK"
