,repo,origin_commit,file,code_context,commit_date,line_vuln,code_vuln
0,sqlitebrowser/sqlitebrowser,ff302c4b6b48fbf7f5dc17f59169790685c85ea5,libs/qhexedit/src/commands.cpp,"    }
     }
     }
",2016-08-01 18:02:55 +0100,28,"CharCommand::CharCommand(Chunks * chunks, CCmd cmd, qint64 charPos, char newChar, QUndoCommand *parent)             ^"
1,sqlitebrowser/sqlitebrowser,ff302c4b6b48fbf7f5dc17f59169790685c85ea5,libs/qhexedit/src/commands.cpp,"    }
     }
     }
",2016-08-01 18:02:55 +0100,28,"CharCommand::CharCommand(Chunks * chunks, CCmd cmd, qint64 charPos, char newChar, QUndoCommand *parent)             ^"
2,sqlitebrowser/sqlitebrowser,ff302c4b6b48fbf7f5dc17f59169790685c85ea5,libs/qhexedit/src/commands.cpp,"    }
     }
     }
",2016-08-01 18:02:55 +0100,32,    _charPos = charPos
3,sqlitebrowser/sqlitebrowser,ff302c4b6b48fbf7f5dc17f59169790685c85ea5,libs/qhexedit/src/commands.cpp,"    }
     }
     }
",2016-08-01 18:02:55 +0100,34,    Chunks(QIODevice &ioDevice)
4,sqlitebrowser/sqlitebrowser,ff302c4b6b48fbf7f5dc17f59169790685c85ea5,libs/qhexedit/src/commands.cpp,"    }
     }
     }
",2016-08-01 18:02:55 +0100,33,"    UndoStack(Chunks *chunks, QObject * parent=0)"
5,sqlitebrowser/sqlitebrowser,ff302c4b6b48fbf7f5dc17f59169790685c85ea5,libs/qhexedit/src/commands.cpp,"#include <QUndoCommand>
    _charPos = charPos;    _newChar = newChar;",2016-08-01 18:02:55 +0100,28,"CharCommand::CharCommand(Chunks * chunks, CCmd cmd, qint64 charPos, char newChar, QUndoCommand *parent)             ^"
6,sqlitebrowser/sqlitebrowser,ff302c4b6b48fbf7f5dc17f59169790685c85ea5,libs/qhexedit/src/commands.cpp,"#include <QUndoCommand>
    _charPos = charPos;    _newChar = newChar;",2016-08-01 18:02:55 +0100,28,"CharCommand::CharCommand(Chunks * chunks, CCmd cmd, qint64 charPos, char newChar, QUndoCommand *parent)             ^"
7,sqlitebrowser/sqlitebrowser,ff302c4b6b48fbf7f5dc17f59169790685c85ea5,libs/qhexedit/src/commands.cpp,"#include <QUndoCommand>
    _charPos = charPos;    _newChar = newChar;",2016-08-01 18:02:55 +0100,32,    _charPos = charPos
8,sqlitebrowser/sqlitebrowser,ff302c4b6b48fbf7f5dc17f59169790685c85ea5,libs/qhexedit/src/commands.cpp,"#include <QUndoCommand>
    _charPos = charPos;    _newChar = newChar;",2016-08-01 18:02:55 +0100,34,    Chunks(QIODevice &ioDevice)
9,sqlitebrowser/sqlitebrowser,ff302c4b6b48fbf7f5dc17f59169790685c85ea5,libs/qhexedit/src/commands.cpp,"#include <QUndoCommand>
    _charPos = charPos;    _newChar = newChar;",2016-08-01 18:02:55 +0100,33,"    UndoStack(Chunks *chunks, QObject * parent=0)"
