,repo,origin_commit,file,code_context,commit_date,line_vuln,code_vuln
0,tencent/ncnn,a26914d6c817033e7875e96c80ebba49eef48e65,src/net.cpp,"Net::Net()
{
}
",2017-09-04 13:22:12 +0800,30,    Mat(int w)
1,tencent/ncnn,a26914d6c817033e7875e96c80ebba49eef48e65,src/net.cpp,"Net::Net()
{
}
",2017-09-04 13:22:12 +0800,173,    unsigned char* udata = (unsigned char*)malloc(size + sizeof(void*) + MALLOC_ALIGN)
2,tencent/ncnn,a26914d6c817033e7875e96c80ebba49eef48e65,src/net.cpp,"Net::Net()
{
}
",2017-09-04 13:22:12 +0800,176,"    unsigned char** adata = alignPtr((unsigned char**)udata + 1, MALLOC_ALIGN)"
3,tencent/ncnn,a26914d6c817033e7875e96c80ebba49eef48e65,src/net.cpp,"Net::Net()
{
}
",2017-09-04 13:22:12 +0800,185,        unsigned char* udata = ((unsigned char**)ptr)[-1]
4,tencent/ncnn,a26914d6c817033e7875e96c80ebba49eef48e65,src/net.cpp,"Net::Net()
{
}
",2017-09-04 13:22:12 +0800,466,        data = (float*)fastMalloc(totalsize + (int)sizeof(*refcount))
5,tencent/ncnn,a26914d6c817033e7875e96c80ebba49eef48e65,src/net.cpp,"Net::Net()
{
}
",2017-09-04 13:22:12 +0800,467,        refcount = (int*)(((unsigned char*)data) + totalsize)
6,tencent/ncnn,a26914d6c817033e7875e96c80ebba49eef48e65,src/net.cpp,"Net::Net()
{
}
",2017-09-04 13:22:12 +0800,487,        data = (float*)fastMalloc(totalsize + (int)sizeof(*refcount))
7,tencent/ncnn,a26914d6c817033e7875e96c80ebba49eef48e65,src/net.cpp,"Net::Net()
{
}
",2017-09-04 13:22:12 +0800,488,        refcount = (int*)(((unsigned char*)data) + totalsize)
8,tencent/ncnn,a26914d6c817033e7875e96c80ebba49eef48e65,src/net.cpp,"Net::Net()
{
}
",2017-09-04 13:22:12 +0800,508,        data = (float*)fastMalloc(totalsize + (int)sizeof(*refcount))
9,tencent/ncnn,a26914d6c817033e7875e96c80ebba49eef48e65,src/net.cpp,"Net::Net()
{
}
",2017-09-04 13:22:12 +0800,509,        refcount = (int*)(((unsigned char*)data) + totalsize)
10,tencent/ncnn,a26914d6c817033e7875e96c80ebba49eef48e65,src/net.cpp,"Net::Net()
{
}
",2017-09-04 13:22:12 +0800,355,    int layer_count = *(int*)(mem)
11,tencent/ncnn,a26914d6c817033e7875e96c80ebba49eef48e65,src/net.cpp,"Net::Net()
{
}
",2017-09-04 13:22:12 +0800,358,    int blob_count = *(int*)(mem)
12,tencent/ncnn,a26914d6c817033e7875e96c80ebba49eef48e65,src/net.cpp,"Net::Net()
{
}
",2017-09-04 13:22:12 +0800,366,        int typeindex = *(int*)mem
13,tencent/ncnn,a26914d6c817033e7875e96c80ebba49eef48e65,src/net.cpp,"Net::Net()
{
}
",2017-09-04 13:22:12 +0800,369,        int bottom_count = *(int*)mem
14,tencent/ncnn,a26914d6c817033e7875e96c80ebba49eef48e65,src/net.cpp,"Net::Net()
{
}
",2017-09-04 13:22:12 +0800,372,        int top_count = *(int*)mem
15,tencent/ncnn,a26914d6c817033e7875e96c80ebba49eef48e65,src/net.cpp,"Net::Net()
{
}
",2017-09-04 13:22:12 +0800,389,            int bottom_blob_index = *(int*)mem
16,tencent/ncnn,a26914d6c817033e7875e96c80ebba49eef48e65,src/net.cpp,"Net::Net()
{
}
",2017-09-04 13:22:12 +0800,402,            int top_blob_index = *(int*)mem
17,tencent/ncnn,a26914d6c817033e7875e96c80ebba49eef48e65,src/net.cpp,"Net::Net()
{
}
",2017-09-04 13:22:12 +0800,173,    unsigned char* udata = (unsigned char*)malloc(size + sizeof(void*) + MALLOC_ALIGN)
18,tencent/ncnn,a26914d6c817033e7875e96c80ebba49eef48e65,src/net.cpp,"Net::Net()
{
}
",2017-09-04 13:22:12 +0800,112,"        nscan = fscanf(fp, ""%256s %256s %d %d"", layer_type, layer_name, &bottom_count, &top_count)"
19,tencent/ncnn,a26914d6c817033e7875e96c80ebba49eef48e65,src/net.cpp,"Net::Net()
{
}
",2017-09-04 13:22:12 +0800,112,"        nscan = fscanf(fp, ""%256s %256s %d %d"", layer_type, layer_name, &bottom_count, &top_count)"
20,tencent/ncnn,a26914d6c817033e7875e96c80ebba49eef48e65,src/net.cpp,"Net::Net()
{
}
",2017-09-04 13:22:12 +0800,134,"            nscan = fscanf(fp, ""%256s"", bottom_name)"
21,tencent/ncnn,a26914d6c817033e7875e96c80ebba49eef48e65,src/net.cpp,"Net::Net()
{
}
",2017-09-04 13:22:12 +0800,166,"            nscan = fscanf(fp, ""%256s"", blob_name)"
22,tencent/ncnn,a26914d6c817033e7875e96c80ebba49eef48e65,src/net.cpp,"Net::Net()
{
}
",2017-09-04 13:22:12 +0800,243,"        NCNN_XADD(refcount, 1)"
23,tencent/ncnn,a26914d6c817033e7875e96c80ebba49eef48e65,src/net.cpp,"Net::Net()
{
}
",2017-09-04 13:22:12 +0800,293,"        NCNN_XADD(m.refcount, 1)"
24,tencent/ncnn,a26914d6c817033e7875e96c80ebba49eef48e65,src/net.cpp,"Net::Net()
{
}
",2017-09-04 13:22:12 +0800,517,"        NCNN_XADD(refcount, 1)"
25,tencent/ncnn,a26914d6c817033e7875e96c80ebba49eef48e65,src/net.cpp,"Net::Net()
{
}
",2017-09-04 13:22:12 +0800,522,"    if (refcount && NCNN_XADD(refcount, -1) == 1)                    ^"
