"name","isFork","commits","branches","defaultBranch","releases","contributors","license","watchers","stargazers","forks","size","createdAt","pushedAt","updatedAt","homepage","mainLanguage","totalIssues","openIssues","totalPullRequests","openPullRequests","lastCommit","lastCommitSHA","hasWiki","isArchived"
"google/brotli",false,1045,6,"master",16,83,"MIT License",341,11445,1106,40010,"2014-10-09T02:35:14","2022-09-07T06:57:32","2022-09-12T07:45:07","","C",341,78,626,15,"2022-05-12T07:50:48","9801a2c5d6c67c467ffad676ac301379bb877fc3",true,false
"gentilkiwi/mimikatz",false,337,2,"master",11,7,,901,16160,3159,6175,"2014-04-06T06:30:02","2022-10-07T06:12:41","2022-10-16T04:34:24","http://blog.gentilkiwi.com/mimikatz","C",355,121,51,24,"2022-09-19T09:24:53","c78b1cf37c517ae9d0e872447bb103da9fa6034a",true,false
"octalmage/robotjs",false,651,28,"master",34,49,"MIT License",213,11270,856,987,"2014-08-31T02:13:47","2022-09-04T01:08:33","2022-09-08T05:52:35","http://robotjs.io","C",555,134,162,25,"2021-09-07T11:16:37","8ae87a91f06f49559f0db387bc2bd1ea01419880",true,false
"openresty/openresty",false,1660,7,"master",13,28,"Other",569,10865,1424,2359,"2010-01-20T03:57:59","2022-09-23T12:41:49","2022-09-26T03:02:03","https://openresty.org","C",675,247,190,8,"2022-09-23T12:41:48","e7e21f9b40e8cf0ec442d7c70150580afb1add81",true,false
"jedisct1/libsodium",false,4060,6,"master",32,117,"Other",383,10508,1617,8820,"2013-01-20T12:03:40","2022-10-11T12:07:26","2022-10-16T07:06:57","https://libsodium.org","C",776,3,340,1,"2022-10-11T12:02:29","b4c5d37fb5ee2736caa4823433926b588911e893",false,false
"spacehuhntech/esp8266_deauther",false,772,3,"v2",18,49,"Other",601,10501,2209,16428,"2017-01-07T01:39:23","2022-09-23T06:50:22","2022-09-25T11:20:48","http://deauther.com","C",886,97,141,6,"2022-04-18T10:24:46","02d5ad0d2a914ae30079119d041a575ade8bcd0f",true,false
"haiwen/seafile",false,2248,101,"master",61,65,"Other",460,10058,1465,11937,"2012-07-12T06:47:55","2022-09-29T04:17:43","2022-10-02T11:05:05","http://seafile.com/","C",2138,181,464,6,"2022-09-29T04:17:42","e356ee476d8fc976e71140da24720ccc81e6ff15",true,false
"tmux/tmux",false,9925,3,"master",34,16,"Other",423,26347,1807,16322,"2015-06-03T11:32:55","2022-09-28T11:08:50","2022-10-02T11:27:11","","C",2831,15,503,2,"2022-09-28T11:01:09","9ef854f5a9112a7d50c382dec403432dea2c3579",true,false
"pbatard/rufus",false,1939,7,"master",72,116,"GNU General Public License v3.0",533,20325,2085,30386,"2011-11-19T07:12:05","2022-10-07T04:45:01","2022-10-09T04:44:56","https://rufus.ie","C",1864,11,173,4,"2022-10-07T04:43:46","76ff620714b8f826d9d1442f6a89bbf56aa3c920",true,false
"robertdavidgraham/masscan",false,705,6,"master",11,51,"Other",653,19595,2792,3496,"2013-07-28T05:35:33","2022-09-15T01:50:44","2022-09-19T09:41:28","","C",485,323,192,39,"2021-09-06T03:26:49","144c527ed55275ee9fbb80bb14fbb5e3fcff3b7e",true,false
