"name","isFork","commits","branches","defaultBranch","releases","contributors","license","watchers","stargazers","forks","size","createdAt","pushedAt","updatedAt","homepage","mainLanguage","totalIssues","openIssues","totalPullRequests","openPullRequests","lastCommit","lastCommitSHA","hasWiki","isArchived"
"google/tink",false,5423,16,"master",21,100,"Apache License 2.0",359,12716,1137,51677,"2014-06-06T04:21:09","2022-10-07T08:10:17","2022-10-10T01:47:11","https://developers.google.com/tink","C++",431,104,200,17,"2022-10-07T06:45:23","9b5ce77d050bb459da724aca38f826d068a57305",true,false
"lottie-react-native/lottie-react-native",false,678,5,"master",14,107,"Apache License 2.0",246,15374,1725,414256,"2017-01-27T06:24:50","2022-09-30T05:01:20","2022-10-03T08:28:42",,"C++",665,21,257,7,"2022-08-16T10:06:36","4af1ebd5a6255e4ab87956775ad3bcfcd8a4d3cb",false,false
"tencent/matrix",false,2907,7,"master",15,32,"Other",246,10292,1648,199123,"2018-12-11T07:08:02","2022-09-25T02:57:16","2022-09-29T08:43:53","","C++",549,292,235,26,"2022-05-11T09:52:11","0ee872351b29e78d3b0b192959735a8234c35fa7",true,false
"topjohnwu/magisk",false,5999,2,"master",126,246,"GNU General Public License v3.0",1334,29665,7816,57128,"2016-09-08T12:42:53","2022-10-14T06:44:10","2022-10-17T10:18:14","","C++",4507,34,1663,16,"2022-10-12T08:08:12","021ae15395aeff7dd63c377b333fb2256b77f1c4",false,false
"microsoft/cntk",false,16117,1074,"master",32,194,"Other",1278,17232,4382,935217,"2015-11-26T09:52:06","2022-09-30T05:08:36","2022-10-02T08:59:17","https://docs.microsoft.com/cognitive-toolkit/","C++",3287,753,557,87,"2022-09-23T02:06:50","10a8ffcf50d7b9225f3236ffcfdc422b2014fb92",true,false
"zhongyang219/trafficmonitor",false,838,1,"master",22,25,"Other",243,22526,2437,13299,"2017-07-30T02:51:17","2022-10-02T07:28:05","2022-10-03T12:58:55",,"C++",1228,677,50,4,"2022-10-01T04:30:39","9b2c8fffd12b8efd9f6931981f4277bc85f50039",true,false
"trojan-gfw/trojan",false,466,2,"master",43,19,"GNU General Public License v3.0",502,15885,2817,925,"2017-10-21T04:07:42","2022-05-11T09:53:35","2022-05-15T01:32:51","https://trojan-gfw.github.io/trojan/","C++",542,32,80,2,"2020-11-08T09:51:26","3e7bb9aecdc694f9bcae8d646fae395f773d60f8",true,false
"bvlc/caffe",false,4156,7,"master",14,262,"Other",2167,32104,18908,76170,"2013-09-12T06:39:48","2021-11-29T12:37:53","2021-11-29T02:43:31","http://caffe.berkeleyvision.org/","C++",4765,884,2235,292,"2020-02-13T07:20:36","9b891540183ddc834a02b2bd81b31afae71b2153",true,false
"apple/turicreate",false,1571,3,"main",30,73,"BSD 3-Clause New or Revised License",360,10497,1115,320718,"2017-12-01T12:42:04","2021-11-29T07:55:31","2021-11-30T11:07:08","","C++",1751,470,1679,18,"2021-11-29T07:55:31","cce55aa5311300e3ce6af93cb45ba791fd1bdf49",false,false
"kyleneideck/backgroundmusic",false,389,6,"master",43,32,"GNU General Public License v2.0",145,11991,581,2356,"2016-02-24T07:19:32","2022-08-30T04:07:09","2022-09-04T08:17:35","","C++",547,395,40,0,"2022-08-30T04:07:09","08837fcdca100e1393913ae526eead3983e191a0",true,false
